STATUS,SKU,KATEGORI_CSV,CATEGORY_ID_DB
OK,PP0010655,"BALL VALVE FLANGE OKUMA",336
OK,PP0010656,"BALL VALVE FLANGE OKUMA",336
OK,PP0010657,"BALL VALVE FLANGE OKUMA",336
OK,PP0010658,"BALL VALVE FLANGE OKUMA",336
OK,PP0010659,"BALL VALVE FLANGE OKUMA",336
OK,PP0010660,"BALL VALVE FLANGE OKUMA",336
OK,PP0010661,"BALL VALVE FLANGE OKUMA",336
OK,PP0010662,"BALL VALVE FLANGE OKUMA",336
OK,PP0010663,"BALL VALVE FLANGE OKUMA",336
OK,PP0010664,"BALL VALVE FLANGE OKUMA",336
OK,PP0010665,"BALL VALVE FLANGE OKUMA",336
OK,PP0010666,"BALL VALVE FLANGE OKUMA",336
OK,PP0010667,"BALL VALVE FLANGE OKUMA",336
OK,PP0010668,"BALL VALVE FLANGE OKUMA",336
OK,PP0010669,"BALL VALVE FLANGE OKUMA",336
OK,PP0010670,"Y STRAINER FLANGE OKUMA",337
OK,PP0010671,"Y STRAINER FLANGE OKUMA",337
OK,PP0010672,"Y STRAINER FLANGE OKUMA",337
OK,PP0010673,"Y STRAINER FLANGE OKUMA",337
OK,PP0010674,"Y STRAINER FLANGE OKUMA",337
OK,PP0010675,"Y STRAINER FLANGE OKUMA",337
OK,PP0010676,"Y STRAINER FLANGE OKUMA",337
OK,PP0010677,"SWING CHECK FLANGE OKUMA",338
OK,PP0010678,"SWING CHECK FLANGE OKUMA",338
OK,PP0010679,"SWING CHECK FLANGE OKUMA",338
OK,PP0010680,"SWING CHECK FLANGE OKUMA",338
OK,PP0010681,"SWING CHECK FLANGE OKUMA",338
OK,PP0010682,"SWING CHECK FLANGE OKUMA",338
OK,PP0010683,"SWING CHECK FLANGE OKUMA",338
OK,PP0010684,"GATE VALVE FLANGE OKUMA",339
OK,PP0010685,"GATE VALVE FLANGE OKUMA",339
OK,PP0010686,"GATE VALVE FLANGE OKUMA",339
OK,PP0010687,"GATE VALVE FLANGE OKUMA",339
OK,PP0010688,"GATE VALVE FLANGE OKUMA",339
OK,PP0010689,"GATE VALVE FLANGE OKUMA",339
OK,PP0010690,"GATE VALVE FLANGE OKUMA",339
OK,PP0010691,"CYLINDER SC TPM",340
OK,PP0010692,"CYLINDER SC TPM",340
OK,PP0010693,"CYLINDER SC TPM",340
OK,PP0010694,"CYLINDER SC TPM",340
OK,PP0010695,"CYLINDER SC TPM",340
OK,PP0010696,"CYLINDER SC TPM",340
OK,PP0010697,"CYLINDER SC TPM",340
OK,PP0010698,"CYLINDER SC TPM",340
OK,PP0010699,"CYLINDER SC TPM",340
OK,PP0010700,"CYLINDER SC TPM",340
OK,PP0010701,"CYLINDER SC TPM",340
OK,PP0010702,"CYLINDER SC TPM",340
OK,PP0010703,"CYLINDER SC TPM",340
OK,PP0010704,"CYLINDER SC TPM",340
OK,PP0010705,"CYLINDER SC TPM",340
OK,PP0010706,"CYLINDER SC TPM",340
OK,PP0010707,"CYLINDER SC TPM",340
OK,PP0010708,"CYLINDER SC TPM",340
OK,PP0010709,"CYLINDER SC TPM",340
OK,PP0010710,"CYLINDER SC TPM",340
OK,PP0010711,"CYLINDER SC TPM",340
OK,PP0010712,"CYLINDER SC TPM",340
OK,PP0010713,"CYLINDER SC TPM",340
OK,PP0010714,"CYLINDER SC TPM",340
OK,PP0010715,"CYLINDER SC TPM",340
OK,PP0010716,"CYLINDER SC TPM",340
OK,PP0010717,"CYLINDER SC TPM",340
OK,PP0010718,"CYLINDER SC TPM",340
OK,PP0010719,"CYLINDER SC TPM",340
OK,PP0010720,"CYLINDER SC TPM",340
OK,PP0010721,"CYLINDER SC TPM",340
OK,PP0010722,"CYLINDER SC TPM",340
OK,PP0010723,"CYLINDER SC TPM",340
OK,PP0010724,"CYLINDER SC TPM",340
OK,PP0010725,"CYLINDER SC TPM",340
OK,PP0010726,"CYLINDER SC TPM",340
OK,PP0010727,"CYLINDER SC TPM",340
OK,PP0010728,"CYLINDER SC TPM",340
OK,PP0010729,"CYLINDER SC TPM",340
OK,PP0010730,"CYLINDER SC TPM",340
OK,PP0010731,"CYLINDER SC TPM",340
OK,PP0010732,"CYLINDER SC TPM",340
OK,PP0010733,"CYLINDER SC TPM",340
OK,PP0010734,"CYLINDER SC TPM",340
OK,PP0010735,"CYLINDER SC TPM",340
OK,PP0010736,"CYLINDER SC TPM",340
OK,PP0010737,"CYLINDER SC TPM",340
OK,PP0010738,"CYLINDER SC TPM",340
OK,PP0010739,"CYLINDER SC TPM",340
OK,PP0010740,"CYLINDER SC TPM",340
OK,PP0010741,"CYLINDER SC TPM",340
OK,PP0010742,"CYLINDER SC TPM",340
OK,PP0010743,"CYLINDER SC TPM",340
OK,PP0010744,"CYLINDER SC TPM",340
OK,PP0010745,"CYLINDER SC TPM",340
OK,PP0010746,"CYLINDER SC TPM",340
OK,PP0010747,"CYLINDER SC TPM",340
OK,PP0010748,"CYLINDER SC TPM",340
OK,PP0010749,"CYLINDER SC TPM",340
OK,PP0010750,"CYLINDER SC TPM",340
OK,PP0010751,"CYLINDER SC TPM",340
OK,PP0010752,"CYLINDER SC TPM",340
OK,PP0010753,"CYLINDER SC TPM",340
OK,PP0010754,"CYLINDER SC TPM",340
OK,PP0010755,"CYLINDER SC TPM",340
OK,PP0010756,"CYLINDER SC TPM",340
OK,PP0010757,"CYLINDER SC TPM",340
OK,PP0010758,"CYLINDER SC TPM",340
OK,PP0010759,"CYLINDER SC TPM",340
OK,PP0010760,"CYLINDER SC TPM",340
OK,PP0010761,"CYLINDER SC TPM",340
OK,PP0010762,"CYLINDER SC TPM",340
OK,PP0010763,"CYLINDER SC TPM",340
OK,PP0010764,"CYLINDER SC TPM",340
OK,PP0010765,"CYLINDER SC TPM",340
OK,PP0010766,"CYLINDER SC TPM",340
OK,PP0010767,"CYLINDER SC TPM",340
OK,PP0010768,"CYLINDER SC TPM",340
OK,PP0010769,"CYLINDER SC TPM",340
OK,PP0010770,"CYLINDER SC TPM",340
OK,PP0010771,"CYLINDER MAL TPM",341
OK,PP0010772,"CYLINDER MAL TPM",341
OK,PP0010773,"CYLINDER MAL TPM",341
OK,PP0010774,"CYLINDER MAL TPM",341
OK,PP0010775,"CYLINDER MAL TPM",341
OK,PP0010776,"CYLINDER MAL TPM",341
OK,PP0010777,"CYLINDER MAL TPM",341
OK,PP0010778,"CYLINDER MAL TPM",341
OK,PP0010779,"CYLINDER MAL TPM",341
OK,PP0010780,"CYLINDER MAL TPM",341
OK,PP0010781,"CYLINDER MAL TPM",341
OK,PP0010782,"CYLINDER MAL TPM",341
OK,PP0010783,"CYLINDER MAL TPM",341
OK,PP0010784,"CYLINDER MAL TPM",341
OK,PP0010785,"CYLINDER MAL TPM",341
OK,PP0010786,"CYLINDER MAL TPM",341
OK,PP0010787,"CYLINDER MAL TPM",341
OK,PP0010788,"CYLINDER MAL TPM",341
OK,PP0010789,"CYLINDER MAL TPM",341
OK,PP0010790,"CYLINDER MAL TPM",341
OK,PP0010791,"CYLINDER MAL TPM",341
OK,PP0010792,"CYLINDER MAL TPM",341
OK,PP0010793,"CYLINDER MAL TPM",341
OK,PP0010794,"CYLINDER MAL TPM",341
OK,PP0010795,"CYLINDER MAL TPM",341
OK,PP0010796,"CYLINDER MAL TPM",341
OK,PP0010797,"CYLINDER MAL TPM",341
OK,PP0010798,"CYLINDER MAL TPM",341
OK,PP0010799,"CYLINDER MAL TPM",341
OK,PP0010800,"CYLINDER MAL TPM",341
OK,PP0010801,"CYLINDER MAL TPM",341
OK,PP0010802,"CYLINDER MAL TPM",341
OK,PP0010803,"CYLINDER MAL TPM",341
OK,PP0010804,"CYLINDER MAL TPM",341
OK,PP0010805,"CYLINDER MAL TPM",341
OK,PP0010806,"CYLINDER MAL TPM",341
OK,PP0010807,"CYLINDER MAL TPM",341
OK,PP0010808,"CYLINDER MAL TPM",341
OK,PP0010809,"CYLINDER MAL TPM",341
OK,PP0010810,"CYLINDER MAL TPM",341
OK,PP0010811,"CYLINDER MAL TPM",341
OK,PP0010812,"CYLINDER MAL TPM",341
OK,PP0010813,"CYLINDER MAL TPM",341
OK,PP0010814,"CYLINDER MA TPM",342
OK,PP0010815,"CYLINDER MA TPM",342
OK,PP0010816,"CYLINDER MA TPM",342
OK,PP0010817,"CYLINDER MA TPM",342
OK,PP0010818,"CYLINDER MA TPM",342
OK,PP0010819,"CYLINDER MA TPM",342
OK,PP0010820,"CYLINDER MA TPM",342
OK,PP0010821,"CYLINDER MA TPM",342
OK,PP0010822,"CYLINDER MA TPM",342
OK,PP0010823,"CYLINDER MA TPM",342
OK,PP0010824,"CYLINDER MA TPM",342
OK,PP0010825,"CYLINDER MA TPM",342
OK,PP0010826,"CYLINDER MA TPM",342
OK,PP0010827,"CYLINDER MA TPM",342
OK,PP0010828,"CYLINDER MA TPM",342
OK,PP0010829,"CYLINDER MA TPM",342
OK,PP0010830,"CYLINDER MA TPM",342
OK,PP0010831,"CYLINDER MA TPM",342
OK,PP0010832,"CYLINDER MA TPM",342
OK,PP0010833,"CYLINDER MA TPM",342
OK,PP0010834,"CYLINDER MA TPM",342
OK,PP0010835,"CYLINDER MA TPM",342
OK,PP0010836,"CYLINDER MA TPM",342
OK,PP0010837,"CYLINDER MA TPM",342
OK,PP0010838,"CYLINDER MA TPM",342
OK,PP0010839,"CYLINDER MA TPM",342
OK,PP0010840,"CYLINDER MA TPM",342
OK,PP0010841,"CYLINDER MA TPM",342
OK,PP0010842,"CYLINDER MA TPM",342
OK,PP0010843,"CYLINDER MA TPM",342
OK,PP0010844,"CYLINDER MA TPM",342
OK,PP0010845,"CYLINDER MA TPM",342
OK,PP0010846,"CYLINDER MA TPM",342
OK,PP0010847,"CYLINDER MA TPM",342
OK,PP0010848,"CYLINDER MA TPM",342
OK,PP0010849,"CYLINDER MA TPM",342
OK,PP0010850,"CYLINDER MA TPM",342
OK,PP0010851,"CYLINDER MA TPM",342
OK,PP0010852,"CYLINDER MA TPM",342
OK,PP0010853,"CYLINDER MA TPM",342
OK,PP0010854,"CYLINDER MA TPM",342
OK,PP0010855,"CYLINDER MA TPM",342
OK,PP0010856,"CYLINDER MA TPM",342
OK,PP0010857,"CYLINDER MA TPM",342
OK,PP0010858,"EMC",37
OK,PP0010859,"CYLINDER MAL PAMY",231
OK,PP0010860,"CYLINDER MAL PAMY",231
OK,PP0010861,"CYLINDER MAL PAMY",231
OK,PP0010862,"CYLINDER MAL PAMY",231
OK,PP0010863,"CYLINDER MAL PAMY",231
OK,PP0010864,"CYLINDER MAL PAMY",231
OK,PP0010865,"CYLINDER MAL PAMY",231
OK,PP0010866,"CYLINDER MAL PAMY",231
OK,PP0010867,"CYLINDER MAL PAMY",231
OK,PP0010868,"CYLINDER MAL PAMY",231
OK,PP0010869,"CYLINDER MAL PAMY",231
OK,PP0010870,"CYLINDER MAL PAMY",231
OK,PP0010871,"CYLINDER MAL PAMY",231
OK,PP0010872,"CYLINDER MAL PAMY",231
OK,PP0010873,"CYLINDER MAL PAMY",231
OK,PP0010874,"CYLINDER MAL PAMY",231
OK,PP0010875,"CYLINDER MAL PAMY",231
OK,PP0010876,"CYLINDER MAL PAMY",231
OK,PP0010877,"CYLINDER MAL PAMY",231
OK,PP0010878,"CYLINDER MAL PAMY",231
OK,PP0010879,"CYLINDER MAL PAMY",231
OK,PP0010880,"CYLINDER MAL PAMY",231
OK,PP0010881,"CYLINDER MAL PAMY",231
OK,PP0010882,"CYLINDER MAL PAMY",231
OK,PP0010883,"CYLINDER MAL PAMY",231
OK,PP0010884,"CYLINDER MAL PAMY",231
OK,PP0010885,"CYLINDER MAL PAMY",231
OK,PP0010886,"CYLINDER MAL PAMY",231
OK,PP0010887,"CYLINDER MAL PAMY",231
OK,PP0010888,"CYLINDER MAL PAMY",231
OK,PP0010889,"CYLINDER MAL PAMY",231
OK,PP0010890,"CYLINDER MAL PAMY",231
OK,PP0010891,"CYLINDER MAL PAMY",231
OK,PP0010892,"CYLINDER MAL PAMY",231
OK,PP0010893,"CYLINDER MAL PAMY",231
OK,PP0010894,"CYLINDER MAL PAMY",231
OK,PP0010895,"CYLINDER MAL PAMY",231
OK,PP0010896,"CYLINDER MAL PAMY",231
OK,PP0010897,"CYLINDER MAL PAMY",231
OK,PP0010898,"CYLINDER MAL PAMY",231
OK,PP0010899,"CYLINDER MAL PAMY",231
OK,PP0010900,"CYLINDER MAL PAMY",231
OK,PP0010901,"CYLINDER MAL PAMY",231
OK,PP0010902,"CYLINDER MAL PAMY",231
OK,PP0010903,"CYLINDER SS",33
OK,PP0010904,"CYLINDER SC PAMY",343
OK,PP0010905,"CYLINDER SC PAMY",343
OK,PP0010906,"CYLINDER SC PAMY",343
OK,PP0010907,"CYLINDER SC PAMY",343
OK,PP0010908,"CYLINDER SC PAMY",343
OK,PP0010909,"CYLINDER SC PAMY",343
OK,PP0010910,"CYLINDER SC PAMY",343
OK,PP0010911,"CYLINDER SC PAMY",343
OK,PP0010912,"CYLINDER SC PAMY",343
OK,PP0010913,"CYLINDER SC PAMY",343
OK,PP0010914,"CYLINDER SC PAMY",343
OK,PP0010915,"CYLINDER SC PAMY",343
OK,PP0010916,"CYLINDER SC PAMY",343
OK,PP0010917,"CYLINDER SC PAMY",343
OK,PP0010918,"CYLINDER SC PAMY",343
OK,PP0010919,"CYLINDER SC PAMY",343
OK,PP0010920,"CYLINDER SC PAMY",343
OK,PP0010921,"CYLINDER SC PAMY",343
OK,PP0010922,"CYLINDER SC PAMY",343
OK,PP0010923,"CYLINDER SC PAMY",343
OK,PP0010924,"CYLINDER SC PAMY",343
OK,PP0010925,"CYLINDER SC PAMY",343
OK,PP0010926,"CYLINDER SC PAMY",343
OK,PP0010927,"CYLINDER SC PAMY",343
OK,PP0010928,"CYLINDER SC PAMY",343
OK,PP0010929,"CYLINDER SC PAMY",343
OK,PP0010930,"CYLINDER SC PAMY",343
OK,PP0010931,"CYLINDER SC PAMY",343
OK,PP0010932,"CYLINDER SC PAMY",343
OK,PP0010933,"CYLINDER SC PAMY",343
OK,PP0010934,"CYLINDER SC PAMY",343
OK,PP0010935,"CYLINDER SC PAMY",343
OK,PP0010936,"CYLINDER SC PAMY",343
OK,PP0010937,"CYLINDER SC PAMY",343
OK,PP0010938,"CYLINDER SC PAMY",343
OK,PP0010939,"CYLINDER SC PAMY",343
OK,PP0010940,"CYLINDER SC PAMY",343
OK,PP0010941,"CYLINDER SC PAMY",343
OK,PP0010942,"CYLINDER SC PAMY",343
OK,PP0010943,"CYLINDER SC PAMY",343
OK,PP0010944,"CYLINDER SC PAMY",343
OK,PP0010945,"CYLINDER SC PAMY",343
OK,PP0010946,"CYLINDER SC PAMY",343
OK,PP0010947,"CYLINDER SC PAMY",343
OK,PP0010948,"CYLINDER SC PAMY",343
OK,PP0010949,"CYLINDER SC PAMY",343
OK,PP0010950,"CYLINDER SC PAMY",343
OK,PP0010951,"CYLINDER SC PAMY",343
OK,PP0010952,"CYLINDER SC PAMY",343
OK,PP0010953,"CYLINDER SC PAMY",343
OK,PP0010954,"CYLINDER SC PAMY",343
OK,PP0010955,"CYLINDER SC PAMY",343
OK,PP0010956,"CYLINDER SC PAMY",343
OK,PP0010957,"CYLINDER SC PAMY",343
OK,PP0010958,"CYLINDER SDA PAMY",344
OK,PP0010959,"CYLINDER SDA PAMY",344
OK,PP0010960,"CYLINDER SDA PAMY",344
OK,PP0010961,"CYLINDER SDA PAMY",344
OK,PP0010962,"CYLINDER SDA PAMY",344
